,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,M49 code,ISO-alpha3 code
60,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.97176,77.98598,..,73.99741,73.33688,..,..,64.93586,..,..,..,..,..,..,56.43065,..,..,..,262,DJI
61,Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92033,3.5054,..,3.16035,2.87028,3.92772,8.90524,..,..,7.01157,..,7.2909,..,..,..,4.97248,2.61827,..,..,212,DMA
62,Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.41965,20.54091,..,12.25713,..,19.57421,17.28363,..,11.10627,13.63428,15.22663,13.72582,13.18104,13.58772,12.21815,12.46147,10.45921,10.12195,10.70464,..,214,DOM
63,Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.98668,19.83455,19.58357,18.71063,18.35272,18.43798,..,17.34109,16.9087,16.30663,..,8.76248,7.81415,6.02039,5.09641,6.41085,6.49875,5.29622,4.47145,..,..,218,ECU
64,Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.58266,..,7.80589,7.88026,..,818,EGY
65,El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.60276,19.16812,17.07036,..,..,12.07865,12.69539,13.07458,13.32551,13.18594,12.43067,12.28296,12.39058,12.7786,14.45184,16.82174,18.61004,22.63816,..,222,SLV
66,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,226,GNQ
67,Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.49623,73.02028,..,71.43979,..,68.99603,65.77599,66.16193,64.3817,61.76101,62.65675,61.27837,61.21488,62.64058,63.46932,63.75434,63.68139,62.42868,61.23834,60.90688,60.82994,62.85811,..,65.0522,..,232,ERI
68,Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.69424,2.65784,1.84082,1.39067,1.10585,2.09046,3.00257,2.91482,2.79156,2.18125,3.3416,4.51189,3.74576,3.32107,3.3292,3.85381,4.94957,4.62517,4.01263,..,..,233,EST
69,Eswatini,..,49.54449,47.46356,..,42.55003,40.98158,40.07592,38.73046,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.14364,22.52543,23.17848,22.47057,23.48094,22.58456,22.40141,..,..,..,748,SWZ
70,Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.37544,72.25364,68.80064,66.36666,..,..,..,..,..,..,..,..,..,..,..,35.26674,36.17861,..,..,..,231,ETH
71,Faeroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
72,Falkland Islands (Malvinas),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,238,FLK
73,Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.10021,12.9989,10.65963,8.48708,8.39075,6.20309,..,6.77506,7.53448,..,7.33745,..,5.25042,5.18689,..,..,..,..,..,..,242,FJI
74,Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75584,2.53606,2.45525,2.22722,2.31156,2.56169,3.54872,3.17752,3.0482,2.6886,2.97877,3.25004,3.34882,3.49859,3.52035,2.55091,2.31687,1.99096,1.66293,..,..,246,FIN
75,France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.97217,5.40275,5.61649,5.65911,5.87237,5.97519,2.0634,2.17612,2.11916,2.24167,2.34538,2.58803,2.22837,2.11459,2.20023,2.15172,2.2171,2.15781,..,..,250,FRA
76,French Guiana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,254,GUF
77,French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,258,PYF
78,Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,266,GAB
79,Gambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,270,GMB
80,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.39412,20.78976,..,..,..,..,..,..,..,17.47884,13.92996,..,10.83341,..,..,..,..,4.88362,2.67314,1.86308,1.64703,1.0993,..,268,GEO
81,Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,276,DEU
82,Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.31571,44.68007,47.30648,44.75404,45.9816,..,40.52255,36.92796,31.60283,28.58045,29.6962,..,..,..,19.58563,20.0064,16.30439,17.7568,18.42912,18.3391,288,GHA
83,Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,292,GIB
84,Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.4904,11.61956,11.05564,10.68386,9.76871,10.21716,10.14091,7.71187,8.61406,10.55642,..,..,7.22076,..,..,7.88278,9.20858,8.0053,8.16018,..,..,300,GRC
85,Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,304,GRL
86,Grenada,..,..,13.99119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.27141,8.84364,6.51001,13.23379,..,..,..,..,..,..,..,8.20999,7.96894,4.69154,2.37059,9.56047,..,308,GRD
87,Guadeloupe,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,312,GLP
88,Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,316,GUM
89,Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.18462,39.75546,38.16588,35.23899,..,..,..,..,..,25.83727,23.25403,21.53075,23.53871,25.61799,27.1547,28.39093,28.77377,29.80902,29.82372,..,320,GTM
90,Guernsey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,831,GGY
91,Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.15907,..,70.46516,65.54728,62.55991,60.05937,56.89608,54.27308,..,..,..,..,48.22537,..,..,45.14988,..,..,..,..,324,GIN
92,Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.51164,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,624,GNB
93,Guyana,..,20.29395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.35972,..,5.09457,7.7705,..,..,..,..,..,..,328,GUY
94,Haiti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,332,HTI
95,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,336,VAT
96,Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.53465,29.77412,29.94847,29.09508,28.74502,..,340,HND
