,Both,CountryCode,Secondary,Primary,Country,Mortality
443,..,,..,4.15171,,
444,..,,..,9.71081,,
445,..,,..,2.55844,,
446,..,,..,22.1755,,
447,..,,..,2.89136,,
448,..,,..,2.15194,,
449,..,,..,3.94069,,
450,..,,..,..,,
451,..,,..,9.81407,,
452,..,,..,12.28954,,
453,..,,..,4.39052,,
454,..,,..,3.07241,,
455,..,,..,4.34201,,
456,..,,..,4.15255,,
457,..,,..,2.61416,,
458,..,,..,6.83978,,
459,..,,..,22.99368,,
460,..,,..,11.03201,,
461,..,,..,..,,
462,..,,..,22.26003,,
463,..,,..,10.66408,,
464,..,,..,8.01748,,
465,..,,..,3.71165,,
466,..,,..,2.75513,,
467,..,,..,,,
468,..,,..,,,
469,..,,..,,,
470,..,,..,,,
471,..,,..,,,
472,..,,..,,,
473,..,,..,..,,
474,..,,..,15.08671,,
475,..,,..,..,,
476,..,,..,..,,
477,..,,..,6.27012,,
478,..,,..,..,,
479,..,,..,..,,
480,..,,..,..,,
481,..,,..,..,,
482,..,,..,..,,
483,..,,..,9.81407,,
484,..,,..,20.36703,,
485,..,,..,20.46128,,
486,..,,..,11.21139,,
487,..,,..,23.00016,,
488,..,,..,11.18052,,
489,..,,..,10.00761,,
490,..,,..,12.35377,,
491,..,,..,6.72871,,
492,..,,..,2.9226,,
493,..,,..,6.83978,,
494,..,,..,4.20922,,
495,..,,..,3.02331,,
496,..,,..,6.13284,,
497,..,,..,4.15171,,
498,..,,..,9.71081,,
499,..,,..,2.55844,,
500,..,,..,22.1755,,
501,..,,..,2.89136,,
502,..,,..,2.15194,,
503,..,,..,3.94069,,
504,..,,..,..,,
505,..,,..,9.81407,,
506,..,,..,12.28954,,
507,..,,..,4.39052,,
508,..,,..,3.07241,,
509,..,,..,4.34201,,
510,..,,..,4.15255,,
511,..,,..,2.61416,,
512,..,,..,6.83978,,
513,..,,..,22.99368,,
514,..,,..,11.03201,,
515,..,,..,..,,
516,..,,..,22.26003,,
517,..,,..,10.66408,,
518,..,,..,8.01748,,
519,..,,..,3.71165,,
520,..,,..,2.75513,,
521,..,,..,,,
522,..,,..,,,
523,..,,..,,,
524,..,,..,,,
525,..,,..,,,
526,..,,..,,,
527,..,,..,..,,
528,..,,..,15.08671,,
529,..,,..,..,,
530,..,,..,..,,
531,..,,..,6.27012,,
532,..,,..,..,,
533,..,,..,..,,
534,..,,..,..,,
535,..,,..,..,,
536,..,,..,..,,
537,..,,..,9.81407,,
538,..,,..,20.36703,,
539,..,,..,20.46128,,
540,..,,..,11.21139,,
541,..,,..,23.00016,,
542,..,,..,11.18052,,
543,..,,..,10.00761,,
544,..,,..,12.35377,,
545,..,,..,6.72871,,
546,..,,..,2.9226,,
547,..,,..,6.83978,,
548,..,,..,4.20922,,
549,..,,..,3.02331,,
550,..,,..,6.13284,,
551,..,,..,4.15171,,
552,..,,..,9.71081,,
553,..,,..,2.55844,,
554,..,,..,22.1755,,
555,..,,..,2.89136,,
556,..,,..,2.15194,,
557,..,,..,3.94069,,
558,..,,..,..,,
559,..,,..,9.81407,,
560,..,,..,12.28954,,
561,..,,..,4.39052,,
562,..,,..,3.07241,,
563,..,,..,4.34201,,
564,..,,..,4.15255,,
565,..,,..,2.61416,,
566,..,,..,6.83978,,
567,..,,..,22.99368,,
568,..,,..,11.03201,,
569,..,,..,..,,
570,..,,..,22.26003,,
571,..,,..,10.66408,,
572,..,,..,8.01748,,
573,..,,..,3.71165,,
574,..,,..,2.75513,,
575,..,,..,,,
576,..,,..,,,
577,..,,..,,,
578,..,,..,,,
579,..,,..,,,
580,..,,..,,,
581,..,,25.90122,..,,
582,..,,25.90122,15.08671,,
583,..,,25.90122,..,,
584,..,,25.90122,..,,
585,..,,25.90122,6.27012,,
586,..,,25.90122,..,,
587,..,,25.90122,..,,
588,..,,25.90122,..,,
589,..,,25.90122,..,,
590,..,,25.90122,..,,
591,..,,25.90122,9.81407,,
592,..,,25.90122,20.36703,,
593,..,,25.90122,20.46128,,
594,..,,25.90122,11.21139,,
595,..,,25.90122,23.00016,,
596,..,,25.90122,11.18052,,
597,..,,25.90122,10.00761,,
598,..,,25.90122,12.35377,,
599,..,,25.90122,6.72871,,
600,..,,25.90122,2.9226,,
601,..,,25.90122,6.83978,,
602,..,,25.90122,4.20922,,
603,..,,25.90122,3.02331,,
604,..,,25.90122,6.13284,,
605,..,,25.90122,4.15171,,
606,..,,25.90122,9.71081,,
607,..,,25.90122,2.55844,,
608,..,,25.90122,22.1755,,
609,..,,25.90122,2.89136,,
610,..,,25.90122,2.15194,,
611,..,,25.90122,3.94069,,
612,..,,25.90122,..,,
613,..,,25.90122,9.81407,,
614,..,,25.90122,12.28954,,
615,..,,25.90122,4.39052,,
616,..,,25.90122,3.07241,,
617,..,,25.90122,4.34201,,
618,..,,25.90122,4.15255,,
619,..,,25.90122,2.61416,,
620,..,,25.90122,6.83978,,
621,..,,25.90122,22.99368,,
622,..,,25.90122,11.03201,,
623,..,,25.90122,..,,
624,..,,25.90122,22.26003,,
625,..,,25.90122,10.66408,,
626,..,,25.90122,8.01748,,
627,..,,25.90122,3.71165,,
628,..,,25.90122,2.75513,,
629,..,,25.90122,,,
630,..,,25.90122,,,
631,..,,25.90122,,,
632,..,,25.90122,,,
633,..,,25.90122,,,
634,..,,25.90122,,,
635,..,,43.54726,..,,
636,..,,43.54726,15.08671,,
637,..,,43.54726,..,,
638,..,,43.54726,..,,
639,..,,43.54726,6.27012,,
640,..,,43.54726,..,,
641,..,,43.54726,..,,
642,..,,43.54726,..,,
643,..,,43.54726,..,,
644,..,,43.54726,..,,
645,..,,43.54726,9.81407,,
646,..,,43.54726,20.36703,,
647,..,,43.54726,20.46128,,
648,..,,43.54726,11.21139,,
649,..,,43.54726,23.00016,,
650,..,,43.54726,11.18052,,
651,..,,43.54726,10.00761,,
652,..,,43.54726,12.35377,,
653,..,,43.54726,6.72871,,
654,..,,43.54726,2.9226,,
655,..,,43.54726,6.83978,,
656,..,,43.54726,4.20922,,
657,..,,43.54726,3.02331,,
658,..,,43.54726,6.13284,,
659,..,,43.54726,4.15171,,
660,..,,43.54726,9.71081,,
661,..,,43.54726,2.55844,,
662,..,,43.54726,22.1755,,
663,..,,43.54726,2.89136,,
664,..,,43.54726,2.15194,,
665,..,,43.54726,3.94069,,
666,..,,43.54726,..,,
667,..,,43.54726,9.81407,,
668,..,,43.54726,12.28954,,
669,..,,43.54726,4.39052,,
670,..,,43.54726,3.07241,,
671,..,,43.54726,4.34201,,
672,..,,43.54726,4.15255,,
673,..,,43.54726,2.61416,,
674,..,,43.54726,6.83978,,
675,..,,43.54726,22.99368,,
676,..,,43.54726,11.03201,,
677,..,,43.54726,..,,
678,..,,43.54726,22.26003,,
679,..,,43.54726,10.66408,,
680,..,,43.54726,8.01748,,
681,..,,43.54726,3.71165,,
682,..,,43.54726,2.75513,,
683,..,,43.54726,,,
684,..,,43.54726,,,
685,..,,43.54726,,,
686,..,,43.54726,,,
687,..,,43.54726,,,
688,..,,43.54726,,,
689,..,,45.68311,..,,
690,..,,45.68311,15.08671,,
691,..,,45.68311,..,,
692,..,,45.68311,..,,
693,..,,45.68311,6.27012,,
694,..,,45.68311,..,,
695,..,,45.68311,..,,
696,..,,45.68311,..,,
697,..,,45.68311,..,,
698,..,,45.68311,..,,
699,..,,45.68311,9.81407,,
700,..,,45.68311,20.36703,,
701,..,,45.68311,20.46128,,
702,..,,45.68311,11.21139,,
703,..,,45.68311,23.00016,,
704,..,,45.68311,11.18052,,
705,..,,45.68311,10.00761,,
706,..,,45.68311,12.35377,,
707,..,,45.68311,6.72871,,
708,..,,45.68311,2.9226,,
709,..,,45.68311,6.83978,,
710,..,,45.68311,4.20922,,
711,..,,45.68311,3.02331,,
712,..,,45.68311,6.13284,,
713,..,,45.68311,4.15171,,
714,..,,45.68311,9.71081,,
715,..,,45.68311,2.55844,,
716,..,,45.68311,22.1755,,
717,..,,45.68311,2.89136,,
718,..,,45.68311,2.15194,,
719,..,,45.68311,3.94069,,
720,..,,45.68311,..,,
721,..,,45.68311,9.81407,,
722,..,,45.68311,12.28954,,
723,..,,45.68311,4.39052,,
724,..,,45.68311,3.07241,,
725,..,,45.68311,4.34201,,
726,..,,45.68311,4.15255,,
727,..,,45.68311,2.61416,,
728,..,,45.68311,6.83978,,
729,..,,45.68311,22.99368,,
730,..,,45.68311,11.03201,,
731,..,,45.68311,..,,
732,..,,45.68311,22.26003,,
733,..,,45.68311,10.66408,,
734,..,,45.68311,8.01748,,
735,..,,45.68311,3.71165,,
736,..,,45.68311,2.75513,,
737,..,,45.68311,,,
738,..,,45.68311,,,
739,..,,45.68311,,,
740,..,,45.68311,,,
741,..,,45.68311,,,
742,..,,45.68311,,,
743,..,,19.99517,..,,
744,..,,19.99517,15.08671,,
745,..,,19.99517,..,,
746,..,,19.99517,..,,
747,..,,19.99517,6.27012,,
748,..,,19.99517,..,,
749,..,,19.99517,..,,
750,..,,19.99517,..,,
751,..,,19.99517,..,,
752,..,,19.99517,..,,
753,..,,19.99517,9.81407,,
754,..,,19.99517,20.36703,,
755,..,,19.99517,20.46128,,
756,..,,19.99517,11.21139,,
757,..,,19.99517,23.00016,,
758,..,,19.99517,11.18052,,
759,..,,19.99517,10.00761,,
760,..,,19.99517,12.35377,,
761,..,,19.99517,6.72871,,
762,..,,19.99517,2.9226,,
763,..,,19.99517,6.83978,,
764,..,,19.99517,4.20922,,
765,..,,19.99517,3.02331,,
766,..,,19.99517,6.13284,,
767,..,,19.99517,4.15171,,
768,..,,19.99517,9.71081,,
769,..,,19.99517,2.55844,,
770,..,,19.99517,22.1755,,
771,..,,19.99517,2.89136,,
772,..,,19.99517,2.15194,,
773,..,,19.99517,3.94069,,
774,..,,19.99517,..,,
775,..,,19.99517,9.81407,,
776,..,,19.99517,12.28954,,
777,..,,19.99517,4.39052,,
778,..,,19.99517,3.07241,,
779,..,,19.99517,4.34201,,
780,..,,19.99517,4.15255,,
781,..,,19.99517,2.61416,,
782,..,,19.99517,6.83978,,
783,..,,19.99517,22.99368,,
784,..,,19.99517,11.03201,,
785,..,,19.99517,..,,
786,..,,19.99517,22.26003,,
787,..,,19.99517,10.66408,,
788,..,,19.99517,8.01748,,
789,..,,19.99517,3.71165,,
790,..,,19.99517,2.75513,,
791,..,,19.99517,,,
792,..,,19.99517,,,
793,..,,19.99517,,,
794,..,,19.99517,,,
795,..,,19.99517,,,
796,..,,19.99517,,,
797,..,,47.79567,..,,
798,..,,47.79567,15.08671,,
799,..,,47.79567,..,,
800,..,,47.79567,..,,
801,..,,47.79567,6.27012,,
802,..,,47.79567,..,,
803,..,,47.79567,..,,
804,..,,47.79567,..,,
805,..,,47.79567,..,,
806,..,,47.79567,..,,
807,..,,47.79567,9.81407,,
808,..,,47.79567,20.36703,,
809,..,,47.79567,20.46128,,
810,..,,47.79567,11.21139,,
811,..,,47.79567,23.00016,,
812,..,,47.79567,11.18052,,
813,..,,47.79567,10.00761,,
814,..,,47.79567,12.35377,,
815,..,,47.79567,6.72871,,
816,..,,47.79567,2.9226,,
817,..,,47.79567,6.83978,,
818,..,,47.79567,4.20922,,
819,..,,47.79567,3.02331,,
820,..,,47.79567,6.13284,,
821,..,,47.79567,4.15171,,
822,..,,47.79567,9.71081,,
823,..,,47.79567,2.55844,,
824,..,,47.79567,22.1755,,
825,..,,47.79567,2.89136,,
826,..,,47.79567,2.15194,,
827,..,,47.79567,3.94069,,
828,..,,47.79567,..,,
829,..,,47.79567,9.81407,,
830,..,,47.79567,12.28954,,
831,..,,47.79567,4.39052,,
832,..,,47.79567,3.07241,,
