,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
40,Chad,..,..,..,..,..,86.49866,..,86.16302,..,..,..,..,..,..,..,..,..,..,79.26361,..,..,..,..,..,..,..,..,69.20271,64.4835,61.71944,59.2577,57.49134,54.48945,52.63462,..,..,..,..,..,..,..,45.27892,..,31.48702,..,29.33754,34.39988,..,..,TCD
41,Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
42,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.98883,5.39221,7.3601,6.68905,7.93675,8.49681,9.25189,9.10756,8.30325,6.9248,5.06774,..,CHL
43,China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.90117,..,..,..,6.77645,7.92984,9.06672,10.35748,11.40902,11.8952,11.81876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CHN
44,"China, Hong Kong Special Administrative Region",..,13.44106,12.12484,12.00532,10.58178,8.79775,6.96373,5.62248,6.01929,5.60572,1.82118,2.259,2.37116,2.54969,3.28667,4.51428,..,..,..,..,..,..,..,..,..,5.99408,6.85132,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08059,1.50933,1.90084,2.28056,2.6305,2.66929,..,HKG
45,"China, Macao Special Administrative Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.56187,..,14.79509,..,..,..,..,..,..,12.13132,13.31485,15.58508,15.63248,15.40221,15.50501,15.30178,14.71176,13.95217,13.91505,14.57801,14.34974,13.04603,11.4757,9.05681,4.80461,1.72322,0.95849,0.7708,..,MAC
46,Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.3291,..,..,..,..,27.22243,..,..,..,..,..,..,..,3.04568,2.47462,6.25955,6.08709,..,2.37548,2.31205,3.35073,3.79267,3.62684,3.2018,2.95912,2.76369,5.68409,6.81421,7.53245,6.5559,6.08316,5.90496,..,COL
47,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.40159,..,..,..,..,..,..,37.70391,..,..,..,..,44.07565,37.86399,..,..,..,..,..,..,23.74947,..,..,..,..,..,15.62896,18.71673,..,..,16.40568,..,COM
48,Congo,..,..,23.81947,..,17.40044,..,12.59777,..,7.74179,7.23382,13.83621,14.76866,14.01149,13.13617,12.35581,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.10118,48.21343,..,..,..,17.18283,..,9.1456,..,..,..,..,..,..,COG
49,Cook Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.79812,15.49844,4.14313,..,..,..,..,..,..,..,..,..,..,..,..,4.51516,..,..,..,..,..,COK
50,Costa Rica,12.88531,..,10.71015,10.07075,..,9.65019,8.06212,..,9.95785,11.20599,10.85677,10.23939,11.63391,..,..,14.00098,12.71423,12.49954,..,12.20843,12.04342,11.33196,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44012,0.391,1.31447,3.64162,3.5681,3.16485,..,..,CRI
51,Côte d'Ivoire,..,..,..,..,..,..,..,62.2166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.14266,53.1282,..,51.00526,52.45187,48.32974,48.9493,50.11752,..,..,..,..,..,48.95721,..,..,..,33.40311,30.60085,27.03661,17.03927,15.08671,..,
52,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.24868,7.61982,6.309,4.22442,2.0549,..,..,0.07915,0.16544,0.11223,1.39584,8.15214,4.07023,1.82778,0.33892,0.34116,0.34171,0.34411,0.57314,..,..,HRV
53,Cuba,..,..,6.21319,4.9985,4.19764,..,..,..,..,1.92724,3.00478,4.80389,5.81164,5.93093,6.86758,8.94461,8.73552,7.32525,7.78137,7.58587,7.50125,7.80832,5.41568,4.68159,2.44286,2.48724,1.03981,1.39253,1.57912,1.54596,2.27584,3.03147,3.21369,5.25539,5.71088,5.67471,5.23613,3.69639,2.5989,0.23105,0.10005,..,0.3327,0.5029,3.31642,4.63403,4.30182,3.04172,..,CUB
